Ticker,Name,Price,Dividend Yield,Market Cap ($M),Forward P/E Ratio,Payout Ratio,Beta
TCEHY,Tencent Holdings Ltd.,52.26,0.002441638,495249.3092,39.47,0.096360066,1.253786691
TCS.TO,Tecsys Inc.,20.69,0.0116,258.51,N/A,N/A,N/A
TCTZF,Tencent Holdings Ltd.,52.25,0.019138756,495154.5428,39.46,0.755172935,1.278069746
TCYSF,"TECSYS, Inc.",17,0.009739196,222.394,-1440.68,-14.03104492,0.216851685
TEL,TE Connectivity Ltd.,91.73,0.019586741,31048.47464,19.52,0.387209327,1.261678726
TER,"Teradyne, Inc.",66.05,0.005302696,11376.87042,23.44,0.12783183,1.674803734
TESS,"TESSCO Technologies, Inc.",6.62,0.120481928,56.75872,-8.07,-0.974777629,0.876755598
TMICF,"Trend Micro, Inc.",54.24,0.027135196,7547.351993,29.4,0.797773869,0.428645037
TOELF,Tokyo Electron Ltd.,226,0.023999879,35143.08136,20.56,0.493406888,0.446822491
TRUHF,Truly International Holdings Ltd.,0.1406,N/A,462.465738,17.15,N/A,-0.05181522
TRUHY,Truly International Holdings Ltd.,2.66,N/A,437.46759,16.17,N/A,0.140127964
TSM,"Taiwan Semiconductor Manufacturing Co., Ltd.",55.59,0.035938385,292909.7984,N/A,N/A,1.301270834
TSYHF,TravelSky Technology Ltd.,2.16,0.141805556,6320.612712,17.94,2.544019934,-0.012542071
TSYHY,TravelSky Technology Ltd.,22.83,0.017109067,2129.039046,18.97,0.324526421,0.958523719
TTCNF,Telit Communications Plc,1.91,N/A,253.43981,11.78,N/A,0.52507588
TTDKF,TDK Corp.,109.75,0.014257562,13862.65091,16.19,0.23079166,0.211645222
TXN,Texas Instruments Incorporated,128.505,0.024416217,122534.247,24.11,0.602104552,1.457155435
TYPE,"Monotype Imaging Holdings, Inc.",19.84,0.011693548,N/A,N/A,N/A,N/A
UMC,United Microelectronics Corp.,2.62,0.035263158,6237.3276,19.52,0.698956781,0.854911243
VCM.TO,Vecima Networks Inc.,10.87,0.0202,256.47,N/A,N/A,N/A
VNWTF,"Vecima Networks, Inc.",8.18,0.020268292,183.5183,-110.09,-2.231421687,0.00025843
VSH,"Vishay Intertechnology, Inc.",20.12,0.01795245,2979.142709,17.75,0.326336214,1.674744598
VTKLF,VTech Holdings Ltd.,9.6,0.069637519,2415.088128,12.12,0.843878044,0.062444083
VTKLY,VTech Holdings Ltd.,9.28,0.072241379,2333.044896,11.71,0.846250947,0.872840792
WCAGY,Wirecard AG,73.58,0.001535743,18183.97256,33.36,0.051226257,1.2120347
WCRS,"Western Capital Resources, Inc.",3.87,0.051679587,36.18063,27.51,1.421464108,-0.027719309
WDC,Western Digital Corp.,66.99,0.028960324,20644.24392,-16.5,-0.49276862,2.117230075
WIRE,Encore Wire Corp. (Delaware),53.05,0.001535509,1092.1202,19.06,0.028765596,1.189796648
WIT,Wipro Ltd.,3.81,0.003664921,22956.56261,16.23,0.059625213,0.590264065
WNXDF,Diebold Nixdorf AG,68.1,N/A,2030.484786,45.58,N/A,0.001241684
WNXDY,Diebold Nixdorf AG,13.03,N/A,N/A,N/A,N/A,N/A
WRCDF,Wirecard AG,144.29,0.001386097,17829.33814,32.71,0.045332971,0.673175529
WSO,"Watsco, Inc.",168.47,0.037530053,6497.36353,N/A,N/A,0.819686528
WSO.B,"Watsco, Inc.",174.26,0.03672673,6639.48026,N/A,N/A,0.115150244
WSTG,"Wayside Technology Group, Inc.",17.665,0.037756802,81.15306,11.58,0.449586777,0.277309934
XLNX,"Xilinx, Inc.",87.77,0.016371534,22343.07423,25.33,0.424487439,1.709956833
XPER,Xperi Corp.,19.42,0.04040404,982.4364,-15.27,-0.629079185,1.372972913
XPPLF,XP Power Ltd.,47.67,0.023621993,910.509394,27.23,0.643242559,0.033889277
XRX,Xerox Holdings Corp.,36.34,0.013594345,7819.0602,5.93,0.081599347,1.406999139
YAHOF,Z Holdings Corp.,3.86,0.020838658,18382.89295,24.59,0.51233897,-0.123284445
YASKF,YASKAWA Electric Corp.,34.4,0.013871396,8990.475604,68.87,0.955307385,0.041195428
Data Provided by IEX Cloud,Certain securities may be excluded due to data limitations,,N/A,N/A,N/A,N/A,N/A
Data updated on 2020-02-21,,,N/A,N/A,N/A,N/A,N/A
